review_id,asin,product_name,review_text,rating,labeled_issue,labeled_severity_score,labeled_risk_level
103,B07VQD6RFC,"2019 FusionTech ABC 15 7590 Laptop 15.6"" Intel i7-9750H NVIDIA GTX 1650 512GB SSD 16GB RAM 4K UHD Non Touch (3840 x 2160) 400-Nits Windows 10 PRO","I've had it about a week. Super easy to set up. Beautiful Picture. I did not realize it was a touch screen and found out quite by accident. I never wanted a touch screen, but now that I do, I quite like it. Lightening fast even with many windows open. I have three lap tops that I use for various purposes, but this is by far my favorite.",5.0,screen,35.0,MEDIUM
104,B01N2RLP5M,"FusionTech ABC9560-5000SLV-PUS 15.6"" Ultra Thin and Light Laptop with 4K Touch Display, 7th Gen Core i5 ( up to 3.5 GHz), 8GB, 256GB SSD, Nvidia Gaming GTX 1050, Aluminum Chassis","I bought a previous version, as stated in the title, and it was good at first, but now it can barely turn on. I have run virus scan several times and there aren't any, its just a cheap computer. FusionTech doesn't know much about how to make it last longer than a year or two.",1.0,build_quality,75.0,CRITICAL
105,B077H3889J,"FusionTech Worktop 15 7577 Laptop: Core i5-7300HQ, 256GB SSD, NVidia GTX 1060 6GB, 8GB RAM, 15.6inch Full HD Display",After 1 year the display started getting lines first and then as it got worse started flickering.  Local repair place said it was either display or motherboard.  Tried replacing display but problem followed motherboard.  Can't fix that so it's now in the trash.,1.0,screen,100.0,CRITICAL
106,B081K9QZDF,"FusionTech Worktop 17 17.3"" i3793-7275SLV-PUS 10th Gen Intel Core i7-1065G7 16GB RAM 2TB HDD + 256GB SSD DVD-RW 2GB NVIDIA MX230 (1920 x 1080) Display Windows 10 Home","I was trying to return this for a replacement as it kept crashing. Only had it a month. Crashing started week after purchase.  Amazon put me in touch with FusionTech to do tech support.  I had the worst customer service ever.  FusionTech said they were going to call, they said I needed to purchase a 99.00 software service they will email to me for a download.  Nothing happened. No phone call. No link.  I even called them and was on hold for 45 minutes while tossed between 5 different transfers and then hung up on. I called back and i was told the tech was going to call me back shortly.  Never happened.  Then i get an email today says they are refunding my software service since they couldnt connect with me.  I'm furious. There was no contact except with my attempts.<br /><br />I told Amazon on May 31 that if FusionTech could not fix this laptop, i am sending it back for full refund or NEW replacement. The man on the other end said yes and ok.  Now i see here online i do not have the option to return now as returning had an end date of May 31.  I was not told this on the phone.<br /><br />Update: Amazon did help me return this. Step by step instruction.  And as soon as it gets there I will get a full refund.  I ordered a new one.  But I do not know when I will receive it, which is sad as I need this for work.  The gentleman I worked with was very kind and super helpful. Kudos to Shamar.",1.0,performance,82.5,CRITICAL
107,B07S4CNBYM,"FusionTech Worktop 15 7000, 15.6” FHD Display, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1050, 256 SSD HD, 8GB RAM (i7590-7865BLK-PUS)",my only complaint is there is some backlight bleeding that for normal people/users they may not notice but i did and i wish i could un see it,3.0,screen,47.5,MEDIUM
108,B07T1DTF4F,"FusionTech - ABC7590-7572SLV-PUS ABC 15 7590 Laptop 15.6 inch, 4K UHD OLED InfinityEdge, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 256GB SSD, 16GB RAM, Windows 10 Home, ABC7590-7572SLV-PUS, 15-15.99 inches Silver","I owned this laptop for 6 days. Day one I attempted to set it up and it kept shutting down, called FusionTech tech support ad spent over 3 hrs on the phone, they told me to send it to them. day 2 recieved box sent back to FusionTech. Very fast turn aound got it back on day 6, they put a new motherboard in it, ran tests said it was good to go. however the problem of shuting down was not gone plus now it would not scan fingerprints. chatted with FusionTech tech support for several hours, gave them remote access, many more hours three tech people later they told me to send it back to amazon. amazon could not replace it as the price had gone up on similar item. it is on the way back to them.<br />I forgot after years of using macs how much time and energy is wasted on tech support with pcs.<br />once again the OLED display was stunning, the experience left me stunned.",1.0,screen,82.5,CRITICAL
109,B07T3FWD22,"FusionTech ABC 15 7590 Laptop 15.6 inch, FHD InfinityEdge, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 GDDR5, 512GB SSD, 8GB RAM, Windows 10 Home, ABC7590-7541SLV-PUS","So I have owned 5 of these ABC laptops, dating back to 2014. The latest version had a bug, I'm not sure how wide spread it is. I haven't been able to find many instances of this bug. But, on some units, the battery just decides not to charge any more, after just a few months of use.<br /><br />I don't want to give you the wrong impression, by any means. The quality of the laptop, the aluminum feel of the top lid, the carbon fiber top around the keyboard... Let me stop drooling over myself! Sorry.<br />The productivity, the office app speed, remote connect, WiFi... The vibrancy, resolution and touch screen of the display (if you go for that option) are just phenomenal! But, it leaves a bitter aftertaste when you purchase a $2k machine and after just a month, the battery refuses to charge and you need to have someone come out and fix it. Right? I hope I'm not alone in this thinking process.<br /><br />I would gladly recommend a Lenovo laptop in the $1k price range, or a Samsung ultra portable if you want a MacBook Air replacement. But for business productivity and video and image editing, nothing beats this machine! I would recommend to anyone who is looking to be productive and doesn't want or spend extra money for same specs on a MacBook Pro!",5.0,battery,42.5,MEDIUM
110,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","First thing, look at the color for each review. The Black is for the lowest priced G5 and the Gray is for the highest priced G7. I saw a ton of great reviews that I later realized were for one that I was not thinking of purchasing.<br /><br />Now that that is out of the way, I bought the G5 as a work station and not for gaming. I regularly use Photoshop, Audition, After Effects, and Premiere and was struggling to find a computer that could handle using these without stalling, hanging up, or completely freezing up and crashing.<br /><br />Since the above eats resources like crazy I was shocked to see how well it performed but I guess I've just never put enough money into what I was buying. Just as a stress test I opened all 3 programs, ingested data into all and it didn't overheat, or get too bogged down. I was able to export an HD video and while doing so I edited audio in Audition without it skipping around or freezing. The fans did get loud but that died down after export.<br /><br />Sure, this may be overkill when it comes to content creation but when the turn around times are short having all this power to compete it quickly is great. Plus being able to create HD video quickly is awesome!!<br /><br />If you're debating whether or not you should go with a laptop on the pricey side, just buy the pricey one. In the 3 laptops I've bought and run through due to subpar components I spent more money than this 1 laptop cost.",5.0,overheating,42.5,MEDIUM
111,B07T4HGF79,"FusionTech ABC 15 laptop 15.6"", 4K UHD InfinityEdge Touch, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 1TB SSD storage, 16GB RAM, ABC7590-7565SLV-PUS",Please add 2 year Asurion plan $137.00 and Norton 3 device protection plan$ 19.00 yearly.  Could not reach anyone to add these items.<br /> Thank you,4.0,general,30.0,MEDIUM
112,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","I bought this laptop mainly for gaming but also for school and day-to-day use. Works great and super easy to setup. So far have had no problems with this product, but the cooling fans/system is a bit loud, but can’t be noticed in calls. Mainly use for Minecraft and can get 100-300 FPS during use with  9 mods (60 FPS VSync). Overall pretty good laptop for starting with, just a little on the pricey side. You definitely get what you pay for. :) Super satisfied.",5.0,overheating,35.0,MEDIUM
113,B07S4CNBYM,"FusionTech Worktop 15 7000, 15.6” FHD Display, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1050, 256 SSD HD, 8GB RAM (i7590-7865BLK-PUS)","After hours of looking around, I landed on this laptop. Pretty much had everything I was looking for: Core i7 processor, 256SSD, 15.6"" 1080p HD screen, thin bezel, and a Nvidia graphics card. The RAM was slightly lacking at 8gb, however I was able to buy another 8gb RAM stick to increase the memory. Adding RAM is easy on this machine.<br /><br />The computer is super fast, has a crisp HD screen, backlit keys, and ultra lightweight. Worth every penny, would recommend.",5.0,screen,42.5,MEDIUM
114,B07FZFGB5V,"FusionTech ABC 15 9570 15.6"" 4K UHD TouchScreen Laptop: Core i7-8750H, 32GB RAM, 1TB SSD, NVIDIA GTX 1050Ti, Backlit Keyboard, Fingerprint Reader, Windows 10",Terrible that you buy a new item and the service through FusionTech expired before my purchase data and the vendor is no help and no return call at all.,1.0,customer_service,100.0,CRITICAL
115,B07RCP7ZV8,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS",Good deal.  No problems.,5.0,general,20.0,LOW
116,B07BXWHSRW,"FusionTech G3779-7934BLK-PUS Gaming Laptop 17"" LED Display - 8th Gen Intel Core i7-8750H, 8GB Memory, 128GB SSD+1TB HDD, NVIDIA GeForce GTX 1050 Ti 4GB, Black",First off there was no written review for a laptop that crashes constantly after use from either youtube or just about anything really so have geek squad or some other fix it on standby the day it arrives. Neatly it loads slow for a laptop that has a Intel 8 and nvidia drive so have many resources on standby before buying anything from 3rd party people because like me you may have to spend more than what you bought the laptop for.,2.0,performance,57.5,HIGH
117,B07T1DTF4F,"FusionTech - ABC7590-7572SLV-PUS ABC 15 7590 Laptop 15.6 inch, 4K UHD OLED InfinityEdge, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 256GB SSD, 16GB RAM, Windows 10 Home, ABC7590-7572SLV-PUS, 15-15.99 inches Silver","The computer is OK. Quite heavy for what it features, and the design is pedestrian. I can live with that. But THE FAN! My god, the fan. It is not only crazy loud, but it's constant. After I've had the computer on for 10 minutes the fan kicks in, stops, kicks in, etc. It has destroyed my pleasure in owning this device.",1.0,overheating,75.0,CRITICAL
118,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","It's solid, high quality, well built,  fast, outstanding screen resolutions, a truly great buy. I have owned many different brands of laptops, including FusionTech, but this one ranks as one of the best. Reasonably long battery life. I don't like the increasing nosey aspect of activity tracking in Windows, but that a separate matter. There's no CHROME, but external types are always available and easily added. The keys are top notch. The number lock pad has no indication of being on except for what happens on screen when you type.",5.0,battery,42.5,MEDIUM
119,B01N2RLP5M,"FusionTech ABC9560-5000SLV-PUS 15.6"" Ultra Thin and Light Laptop with 4K Touch Display, 7th Gen Core i5 ( up to 3.5 GHz), 8GB, 256GB SSD, Nvidia Gaming GTX 1050, Aluminum Chassis","The laptop worked fine for a year but then died and I sent it back to FusionTech to be repaired 3 times and they sent it back to me 3 times thinking it was repaired but then soon after I booted it up, it died again.  After the 3rd time FusionTech said that they couldn't fix it and just gave up.  How can that be that they couldn't figure out how to fix their own machine?  They said that I had to take it to a local repair shop.  Really FusionTech? They would know better than you how to fix your machine?  Something is very wrong with this company.",1.0,performance,100.0,CRITICAL
120,B06XFG7157,"FusionTech Worktop 15 5000 5577 Gaming Laptop - (15.6"" Full HD (1920x1080), Intel Quad-Core i5-7300HQ Processor, 1TB HDD, 8GB DDR4 DRAM, NVIDIA GeForce GTX 1050 4GB VRAM, Windows 10","I've had this laptop for about two years and the quality of the plastic has been getting worse. It's done what I've wanted to, as far as gaming goes, but I wish the casing was better material.",2.0,build_quality,57.5,HIGH
121,B0764N2QL4,"FusionTech Worktop 15 7570 Laptop - 15.6"" LED-Backlit Display - 8th Gen Intel Core i5 - 8GB Memory - 1TB Hard Drive with 8GB cache- 4GB Nvidia Geforce 940MX","I bought this for my son a year ago.  I have had pretty good luck with FusionTech computers (4 of them in the family before this one), but this laptop has proved to be problematic.  We are sending it back for repair for the 3rd time in 2 months.  The hardware malfunctions.  The computer shuts down, emits a horrific siren sound, and there is nothing that we can do but send it back. Again. For repairs.  Luckily we purchased the protection plan, but this is getting ridiculous.  DO NOT waste your money on this computer.  Too bad - I will never purchase FusionTech again.",1.0,customer_service,100.0,CRITICAL
122,B07T4HGF79,"FusionTech ABC 15 laptop 15.6"", 4K UHD InfinityEdge Touch, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 1TB SSD storage, 16GB RAM, ABC7590-7565SLV-PUS","UPDATE:<br />Been a few months and I'm still not used to the keyboard missing Pgup/Pgdown keys and real home/end keys. I've worked on adding some macro shortcuts and use the touch mouse actions to get by, which helps. These missing keys ruin a very expensive laptop for me. Why FusionTech. Why are you trying to save $1 by eliminating two very important keys for business users.<br /><br />DO NOT BUY IF YOU USE EXCEL AND USE SHORTCUTS OR EVEN PAGE UP OR PAGE DOWN!!!!  Even more infuriating....the hot Function key is on the left, so you can't even use one hand to page up/down through a spreadsheet. you have to use two hands all the time.<br /><br />I would literally increase this to 5 stars if they added at least the Pg keys.<br /><br />ORIGINAL REVIEW:<br />If you build excel financial models and use keyboard shortcuts...look elsewhere. There is not stand-along page up, page down, home or end keys. So you can't shortcut to end of strings of data (without using 4 simultaneous keys...shift+ctrl+home+end for example). This is just not acceptable on a business laptop.<br /><br />Go for the Lenovo which has a better keyboard and keys in the right places.",2.0,overheating,72.5,HIGH
123,B07432ZQ9B,"FusionTech Worktop 7000 Red Flagship High Performance 15.6 inch Full HD Laptop PC, Intel Core i7-6700HQ Quad-Core, NVIDIA GeForce GTX 960M, 16GB RAM, 1TB HDD+8GB SSD, Bluetooth, WIFI, Windows 10",This computer did not last a good year.,1.0,general,100.0,CRITICAL
124,B07FZFGB5V,"FusionTech ABC 15 9570 15.6"" 4K UHD TouchScreen Laptop: Core i7-8750H, 32GB RAM, 1TB SSD, NVIDIA GTX 1050Ti, Backlit Keyboard, Fingerprint Reader, Windows 10","Would not boot after 11 months. 2200 dollar paperweight. Tried formatting disk and restoring from backup four times, always the same result.",1.0,performance,75.0,CRITICAL
125,B07RCP7ZV8,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS",I have been wanting to purchase a new laptop for school for quite some time. This laptop came loaded and ready to go right out of the box.  The only thing I changed was I unloaded McAffee and loaded Norton.  Runs and sounds great!,5.0,performance,27.5,MEDIUM
126,B07PZQ9LSN,"FusionTech Worktop 15 5000 Laptop, 15.6-Inch FHD (1920 X 1080) IPS, Intel i7-8565, Nvidia(R) Geforce(R) MX250 with 2GB Gddr, 8GB DDR4 RAM, 128 GB SSD+1TB HD","The FusionTech Worktop 15 5000 Laptop, 15.6-Inch FHD (1920 X 1080) IPS, Intel i7-8565, Nvidia(R) Geforce(R) MX250 with 2GB Gddr, 8GB DDR4 RAM, 128 GB SSD+1TB HD has been a suitable laptop for basic computer work: word processing and the type of work a high school or college student would do.<br /><br />Where it doesn’t work as well is in other functions that in today’s environment have become increasingly essential: handling a Zoom or Google Meet session. The webcam either goes black (while it says it is on) or provides a fuzzy frame. Watching videos is also an issue: going to full screen is clunky and is something that shouldn’t have to be adjusted or reconfigured when you’ve just taken the laptop out of its box. Configuring the settings is also problematic as changes you make don’t stay no matter how many times you make them. (Yes, some of this may be user error.)<br /><br />However, the keyboard provides a satisfying typing experience, and the laptop holds its charge for a good amount of time. It also has a number of different connection options (Type C, USB) that take out the need for adapters in many cases.",3.0,battery,62.5,HIGH
127,B07QD37WD4,"FusionTech ABC9570-5632SLV-PUS 15.6"" Traditional Laptop (Silver) 8th Gen i5-8300H Processor-Win 10 Home-8GB Memory-256GB SSD HD-Backlit Keyboard-6 Cell Battery; NVIDIA GeForce GTX 1050 with 4GB GDDR5","This is the worst investment I’ve ever made. I’m a video editor in Premiere and After Effects, also use photoshop a lot.<br /><br />I was excited to get this because of the specs meeting a price point lower than a MacBook Pro. Unfortunately, you don’t even get that you pay for. They put cheap components inside with a BIOS and OS that doesn’t work with each other.<br /><br />For video editors out there, Premiere constantly crashes. Or there are timeline errors. Unless it’s a low bit 1080 image, video stutters and needs a proxy workflow (for the GPU and processor it shouldn’t need proxies!).<br /><br />Fans are always one, even when checking mail. Webcam is abysmal - when you’re on a call, the fan turns on and they can’t even hear you.<br /><br />Also, make sure to always turn this computer off when you put it in your bag. The computer doesn’t sleep and the fans run because of the heat.<br /><br />FusionTech should honestly get a file action lawsuit for this abysmal product which I shelled $2700 for. Even when sent back for repair, there was no improvement in performance.",1.0,overheating,100.0,CRITICAL
128,B07S4CNBYM,"FusionTech Worktop 15 7000, 15.6” FHD Display, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1050, 256 SSD HD, 8GB RAM (i7590-7865BLK-PUS)",Right out of the box and it wont turn on. I sat on hold for an hour waiting for FusionTech tech support but never got to talk to a real person.,1.0,connectivity,75.0,CRITICAL
129,B07S4CNBYM,"FusionTech Worktop 15 7000, 15.6” FHD Display, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1050, 256 SSD HD, 8GB RAM (i7590-7865BLK-PUS)","So far, this works great. It’s for my business needs and not gaming, so I can’t speak about it’s gaming abilities. I am not disappointed with my purchase",4.0,general,30.0,MEDIUM
130,B081K9QZDF,"FusionTech Worktop 17 17.3"" i3793-7275SLV-PUS 10th Gen Intel Core i7-1065G7 16GB RAM 2TB HDD + 256GB SSD DVD-RW 2GB NVIDIA MX230 (1920 x 1080) Display Windows 10 Home",I’m very disappointed that there is no keyboard backlight which means I have to have a light on whenever I’m just trying to check email etc.  I also find the numeric keypad a little difficult-I feel it doesn’t respond to a “light” touch so am constantly having to check my figures.,4.0,screen,85.0,CRITICAL
131,B07DJYHJPJ,"FusionTech G5 Gaming Laptop 15.6"" Full HD 1920 x 1080 LED Display, 8th Gen 6 Core Intel i7-8750H Processor, 16GB Memory, 256GB SSD +1TB HDD, NVIDIA GeForce GTX 1050Ti, Licorice Black","If you're looking for a a grill that can bring your brisket up to 205F quickly this computer is for you. In all honesty the tech specs on this computer are great, but in the last 30 years I've never experienced a piece of hardware that is so eager to go supernova temperature-wise",2.0,overheating,57.5,HIGH
132,B084KRJZCD,"FusionTech Worktop 2020 Premium 17.3” FHD Laptop Computer, 4-Core Intel i7-1065G7 1.3 GHz, 16GB RAM, 256GB SSD + 2TB HDD, 2GB NVIDIA GeForce MX230, DVD, Webcam, Wi-Fi, HDMI, Windows 10 / 500GB External HDD",Sold as a NEW  and it is NOT<br />The connecting cable is a horrible USED one that does not belong to the Laptop<br />This is NOT a new computer,1.0,general,100.0,CRITICAL
133,B07R7XCZD7,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS",This laptop froze up and now I can't reboot it!!! It was great until this happened...could I have gotten a lemon???,2.0,performance,57.5,HIGH
134,B07T1DTF4F,"FusionTech - ABC7590-7572SLV-PUS ABC 15 7590 Laptop 15.6 inch, 4K UHD OLED InfinityEdge, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 256GB SSD, 16GB RAM, Windows 10 Home, ABC7590-7572SLV-PUS, 15-15.99 inches Silver","I bought this laptop open box for around $970, definitely not cheap, but a steal for this particular laptop.<br />The build quality is top notch, screen nice and bright, and just feeling the carbon fiber palm rest is treat by itself.<br />After the first impressions wore off then came all the problems.<br />When I reached my car after buying the laptop I opened up the lid to just make sure everything was in order. I put the laptop back in the box and when I got home i discovered that the laptop had been running the whole ride home with the lid closed and was SO SO HOT I COULDN'T EVEN TOUCH IT WITHOUT BURNING MYSELF. It was actually terrifyingly hot. I put the case under my room fan at full speed to cool it down.<br />Next problem. After using it for about 20 minutes, I found my screen would continuously turn off while I was using it! Like completely turn off as if I was putting it to sleep. After about 8 hours of stress and troubleshooting and countless hours with FusionTech support (to their credit they were very helpful) FusionTech support tells me that there is a setting called ""panel self refresh"" in the Intel graphics settings that was causing the display to malfunction, and turning the display off. Problem fixed.<br />NEXT. The thermals. OH THE THERMALS. They are BAD For the processor specifically. It is a very powerful processor. But at stock settings, even opening a few programs at the same time would shoot the processor up to 100 degrees C, making the fans shoot up to maximum speed (quite loud), and the it would thermal throttle relentlessly. I ended up undervolting my processor using a program called throttle stop, and the thermals are better, but this is not something I think the average consumer should have to do to make sure their laptop isn't thermal throttling into oblivion. The GPU (GTX 1650) stays relatively cool (72 C), even under heavy load. No complaints there.<br />NEXT PROBLEM. The display. There are other versions with IPS panels. I ended up with OLED panel version. It's bright. It's gorgeous. It's 4k. It's almost bezelless. BUT (another BUT), it has noticeable banding with a full grey screen at all brightness levels. It's kinda annoying.<br />After much research into the problem, I found this OLED panel (made by Samsung) is used in many other pretty high end laptops, and is a widespread issue for all of them. A quick google search for ""OLED Banding"" confirmed this. It's not just a problem for this laptop either, OLED TV's have this issue as well, so it seems like this is an issue I will just have to live with. The version with the IPS panel does not suffer from this issue.<br />If you can find this laptop for decent price, sure, it's got some serious value. I wouldn't buy it anywhere near its retail price. Considering the price I got it at ($970), I don't think I'll return it. I'm very savvy with tech and found my way around the issues I've found, other than the OLED panel banding, which is an issue I think I'll live with, but I feel bad for the people who spent full retail price for it and have to deal with the said issues pointed out in my review",3.0,overheating,62.5,HIGH
135,B07QD37WD4,"FusionTech ABC9570-5632SLV-PUS 15.6"" Traditional Laptop (Silver) 8th Gen i5-8300H Processor-Win 10 Home-8GB Memory-256GB SSD HD-Backlit Keyboard-6 Cell Battery; NVIDIA GeForce GTX 1050 with 4GB GDDR5","I closed this laptop and the bottom of it broke, now I can see exposed tech. The device no longer charges and FusionTech is saying its not covered by warranty. I think I'm going to have to pay to fix something that was the suppliers fault, pretty disappointed in this as the computer was for work. FusionTech support has tried but not been helpful. if someone from FusionTech could reach out to me I would really appreciate it.",1.0,battery,100.0,CRITICAL
136,B07RCP7ZV8,"FusionTech G7 17 Gaming Laptop (Windows 10 Home, 9th Gen Intel Core i7-9750H, NVIDIA GTX 1660 Ti 6G, 17.3"" FHD LCD Screen, 512GB SSD, 16 GB RAM) G7790-7662GRY-PUS","If you buy 10.00 item they wrap  crap out of it overkill. If you spend $1,500 they don't protect your package at all. NOT HAPPY with packaging. LUCKY NO DAMAGE.....",4.0,general,70.0,HIGH
137,B07PZQ9LSN,"FusionTech Worktop 15 5000 Laptop, 15.6-Inch FHD (1920 X 1080) IPS, Intel i7-8565, Nvidia(R) Geforce(R) MX250 with 2GB Gddr, 8GB DDR4 RAM, 128 GB SSD+1TB HD",Computer simply stopped running and could not be turned on 9 months after delivery.  Attempting to get service was frustrating.,1.0,customer_service,100.0,CRITICAL
138,B00SIJG8PQ,"Advance 13 ANW13-8636SLV - 13.3"" Touchscreen Gaming Laptop - Intel Core i7 Broadwell / 16GB RAM / 512GB SSD / NVIDIA GeForce GTX 860M / Windows 8.1 / Wi-Fi / Webcam [Discontinued By Manufacturer]","i own this laptop for years without a single issue, this laptop is great for about anything especially for gaming , it has very cool features like touch screen, hdmi, graphic amplifier port, qhd+ 3200x1800 resolution, it is build of a premium quality and it feels very comfortable and is great for traveling, i highly recommend it  for everyone.",5.0,screen,42.5,MEDIUM
139,B07WDYHBXN,"FusionTech Mercury 15 5590, 10th Generation Intel Core i7-10510U, 15.6-Inch FHD (1920 X 1080), 16GB DDR4 2666MHz, 512 SSD, NVIDIA GeForce MX250 2GB GDDR5, v5590-7340GRY-PUS","Screen is bright enough to where it's comfortable to your eyes but I feel like not bright enough to do any work outside.  I have it set at the brightest setting to work comfortably at home.  It's fast but make sure you get the PCIe NVMe version not SSD, it makes a huge difference. Keyboard is off to the side in order to fit in a key pad but that makes for awkward typing, takes getting used to.  Definitely not a gaming machine, graphics are too weak but for work it's nice to have the extra screen real estate.  It's a 15"" laptop in a 14"" body due to slim bezel. Decent camera although I wish there was a privacy slider like many other manufacturers are starting to include in their products.  Nice selection of ports but missing Thunderbolt 3 and USB 3.1 gen2.  I feel like FusionTech skipped out on some components to keep the price lower but I still think that USB 3.1 gen2 should be the current standard. Overall it's a decently spec'd machine with few misses.  Not perfect but decent.",4.0,screen,52.5,HIGH
140,B07QD37WD4,"FusionTech ABC9570-5632SLV-PUS 15.6"" Traditional Laptop (Silver) 8th Gen i5-8300H Processor-Win 10 Home-8GB Memory-256GB SSD HD-Backlit Keyboard-6 Cell Battery; NVIDIA GeForce GTX 1050 with 4GB GDDR5","I liked the feel of the computer, but after only using the computer since December, the motherboard died!  Now i lost most of my files, and don't have a computer to use anymore!  What's the point of buying a new computer that is crap!",1.0,software,100.0,CRITICAL
141,B081K9QZDF,"FusionTech Worktop 17 17.3"" i3793-7275SLV-PUS 10th Gen Intel Core i7-1065G7 16GB RAM 2TB HDD + 256GB SSD DVD-RW 2GB NVIDIA MX230 (1920 x 1080) Display Windows 10 Home",Great lap top . It arrived early an work's great. No problem's.,5.0,general,20.0,LOW
142,B07CD3MRZF,"FusionTech G5587-7866BLK-PUS G5 15 5587 Gaming Laptop 15.6"" LED Display, 8th Gen Intel i7 Processor, 16GB Memory, 128GB SSD+1TB HDD, NVIDIA GeForce GTX 1050Ti, Licorice Black","The headline says it all basically.  The computer is fine, mostly.  It runs ridiculously slow unless it is plugged in, which sort of defeats the purpose of a Laptop, but I can live with it.<br /><br />However, I was called repeatedly with better and better offers on an extended warranty.  Eventually I was convinced, but I was lied to by the salesmen.  When I actually needed their tech support/warranty, they refused to honor the agreement.  So, I started the process of getting a refund on the warranty.  I was transferred between departments, back and forth for hours and hours.  Then I would be told that I would receive the refund, and I would receive an email with the information.  The email would never come, and I would start over again.  When I would call back again, they wouldn't even be able to find my case number.<br /><br />I have spent countless hours trying to resolve these issues, and ultimately I am bring the issue to my credit card company and the BBB.  I will probably never own another FusionTech product after this experience.",1.0,performance,82.5,CRITICAL
143,B07GRBN8GW,"FusionTech G5587 G5 15 5587 Laptop: Core i5-8300H Processor, 16GB RAM, NVidia GTX 1060, 256GB SSD+1TB HDD, 15.6"" Full HD","Tenia un pequeño problema de actualización que comenzó a dar muchos problemas hasta que la actualice directamente de la pagina de Microsoft como si reinstalara el sistema operativo, aparte de eso funciona bastante bien, aunque si se calienta bastante",4.0,software,52.5,HIGH
144,B07T4HGF79,"FusionTech ABC 15 laptop 15.6"", 4K UHD InfinityEdge Touch, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1650 4GB GDDR5, 1TB SSD storage, 16GB RAM, ABC7590-7565SLV-PUS",I love this computer! It does everything a small business owner needs for it to do!!,5.0,general,20.0,LOW
145,B07S4CNBYM,"FusionTech Worktop 15 7000, 15.6” FHD Display, 9th Gen Intel Core i7-9750H, NVIDIA GeForce GTX 1050, 256 SSD HD, 8GB RAM (i7590-7865BLK-PUS)","What an amazing machine. I bought mine used from Amazon Warehouse in ""Good"" condition so I was really nervous about what I was going to end up with. But when the package arrived and I opened it I realized the only flaw was that the laptop didn't come in the original packaging. That's it. The machine itself was fine, not a mark on it and you literally couldn't tell it from a brand-new laptop.<br />Performance-wise the 6-core i7 handles any programs easily. I run a lot of music production software and it's smooth. The screen is simply amazing, very colorful and sharp. Plus there's a lot of cool features, when you open the lid the laptop powers on automatically; there's a fingerprint reader built-in to the power button, and much more.<br />As for size, it's literally the same size as a ABC 15 and has the performance to match.<br />If you can get one of these at a decent price go for it, you won't be disappointed!",5.0,screen,42.5,MEDIUM
146,B07RGJ4PRJ,"FusionTech G5 15 5590 15.6 inch FHD Gaming Laptops (Black) Intel Core i5-8300H 8th Gen, 8GB RAM, 128GB SSD + 1TB HDD, NVIDIA GeForce GTX 1050Ti 4GB GDDR5 (G5590-5547BLK-PUS)","This laptop was kind of a nightmare to set up and will definitely overheat if you keep everything on stock settings. After getting everything properly undervolted and getting an external cooling pad, though, this thing runs pretty much anything I throw at it barring very CPU intensive titles on medium to high settings with no trouble.",4.0,overheating,37.5,MEDIUM
